Model,Split,ROC AUC,PR AUC,F1,Precision,Recall,Brier,TP,FP,TN,FN
Gradient Boosting,test,0.8636078142597244,0.8517711742001385,0.7891566265060241,0.808641975308642,0.7705882352941177,0.14999757692803678,524,124,555,156
Logistic Regression,test,0.8559451615697825,0.8482890161662242,0.7857672349888807,0.7922272047832586,0.7794117647058824,0.15492061362711868,530,139,540,150
Random Forest,test,0.8684484102919519,0.8455397555554854,0.8037383177570093,0.7862165963431786,0.8220588235294117,0.152476364763406,559,152,527,121
MLP,test,0.8556982586849172,0.8354637557286138,0.792507204610951,0.7768361581920904,0.8088235294117647,0.15338227281061612,550,158,521,130
Baseline (Grid-only LR),test,0.7903816165641515,0.7242877890883237,0.7573371510379384,0.7377963737796374,0.7779411764705882,0.20961901913062575,529,188,491,151
Random Forest,train,0.9984060758002442,0.9977929920484159,0.9776564553634617,0.9717616319967842,0.9836232326314719,0.06733014033831898,9670,281,13668,161
MLP,train,0.7858045867263719,0.7047088969232258,0.6415849931499631,0.6655734120476658,0.6192655884447157,0.18459505762437645,6088,3059,10890,3743
Gradient Boosting,train,0.7867772510054665,0.7045058392071806,0.6287160706591987,0.6680782877417878,0.5937341063981284,0.18435607015000632,5837,2900,11049,3994
Logistic Regression,train,0.7606248517721375,0.6688182673752743,0.65,0.6131301289566237,0.6915878344013834,0.19926724644466673,6799,4290,9659,3032
Baseline (Grid-only LR),train,0.6355017109386644,0.48361635302796496,0.5776898063056695,0.5381981032665965,0.6234360695758315,0.2351986059588745,6129,5259,8690,3702
Random Forest,val,0.8376863283036122,0.809886976901038,0.7742316784869976,0.7426303854875284,0.808641975308642,0.16482752242861112,655,227,583,155
Gradient Boosting,val,0.832005029721079,0.805028258736855,0.7637698898408812,0.7572815533980582,0.7703703703703704,0.1668926312584231,624,200,610,186
MLP,val,0.8298978814205151,0.8026754652955621,0.7703097603740503,0.7314095449500555,0.8135802469135802,0.16827060169985103,659,242,568,151
Logistic Regression,val,0.8208885840573085,0.7928902102419162,0.7578448786264061,0.7281001137656428,0.7901234567901234,0.17512045048901548,640,239,571,170
Baseline (Grid-only LR),val,0.8002987349489409,0.7445703612497008,0.7483323226197696,0.735399284862932,0.7617283950617284,0.20782229407040265,617,222,588,193
