Feature,Permutation Importance,Near Zero (<0.01)
max_position_gain,0.004874908020603336,True
grid_position_numeric,0.004047093451066935,True
grid_percentile,0.003955114054451772,True
constructor_season_top10_rate,0.0033112582781456706,True
constructor_prev_5_top10_rate,0.0024834437086092287,True
driver_points_last3,0.002299484915378916,True
country_encoded,0.0022075055187637943,True
grid,0.0022075055187637527,True
driver_prev_5_dnf_rate,0.0019315673289183044,True
driver_avg_pit_stops,0.0019315673289182905,True
top10_start,0.001839587932303141,True
circuit_avg_top10_rate,0.001747608535687964,True
driver_prev_5_avg_position,0.0014716703458425157,True
driverRef_encoded,0.0014716703458425018,True
nationality_constructor_encoded,0.0013796909492273385,True
constructor_prev_5_dnf_rate,0.0012877115526121752,True
season_mid,0.0011037527593818625,True
circuitRef_encoded,0.001011773362766713,True
top5_start,0.0009197939661515636,True
constructorRef_encoded,0.0009197939661515497,True
season_early,0.0009197939661515497,True
driver_constructor_races,0.0006438557763060876,True
circuit_position_volatility,0.0006438557763060876,True
season_late,0.0006438557763060737,True
constructor_avg_pit_time,0.0005518763796909243,True
nationality_encoded,0.00018395879323028497,True
driver_circuit_top10_rate,9.197939661512167e-05,True
season_end,0.0,True
era_encoded,0.0,True
driver_top10_streak,-4.163336342344337e-17,True
num_competitors,-9.19793966151633e-05,True
front_row_start,-9.197939661517718e-05,True
driver_career_points_per_race,-9.197939661517718e-05,True
championship_position,-0.00018395879323034048,True
driver_position_trend,-0.00018395879323035436,True
championship_points,-0.0005518763796909937,True
driver_prev_5_top10_rate,-0.0006438557763061431,True
driver_age,-0.0007358351729212925,True
in_championship_contention,-0.0011957321559970813,True
driver_career_races,-0.0011957321559970813,True
high_altitude_circuit,-0.001195732155997123,True
driver_career_top10_rate,-0.00193156732891836,True
circuit_avg_dnf_rate,-0.002483443708609312,True
points_gap_to_leader,-0.0035871964679911883,True
driver_constructor_top10_rate,-0.0041390728476821265,True
